Name,Acronym,Country_Area,Country_Code,Latitude,Longitude
Acanceh,ACC,"Mexiko, Yucatán",MX-YUC,20.813087,-89.45246
Acanmul,ACN,"Mexiko, Campeche",MX-CAM,19.90093,-90.3254
Acasaguastlan,,"Guatemala, El Progreso",GT-PR,14.928033,-89.962406
Acte,ACT,"Guatemala, Petén",GT-PE,17.0755,-89.939
Actun Balam,,"Belize, Cayo",BZ-CY,16.45,-88.58
Actun Ch'on,ATC,"Mexiko, Yucatán",MX-YUC,20.29668,-89.423006
Actun Chapat,ACP,"Belize, Cayo",BZ-CY,17.03631,-89.08801
Actun Dzib,,"Belize, Toledo",BZ-TOL,16.197779,-89.057019
Actun Neko,,"Belize, Cayo",BZ-CY,17.18516,-88.67501
Actun Tunichil Muknal,ATM,"Belize, Cayo",BZ-CY,17.11356,-88.86394
Actuncan,ATU,"Belize, Cayo",BZ-CY,17.107507,-89.140828
Acum,,"Mexiko, Yucatán",MX-YUC,20.253525,-89.456318
Aguacate,AGA,"Guatemala, Petén",GT-PE,17.149,-89.2025
Aguas Calientes,AGC,"Guatemala, Petén",GT-PE,16.56167,-90.38333
Aguateca,AGT,"Guatemala, Petén",GT-PE,16.395316,-90.204668
Akalpeten,,"Mexiko, Campeche",MX-CAM,18.415,-89.84139
Ake,AKE,"Mexiko, Yucatán",MX-YUC,20.947223,-89.30158
Aktun Xch'omil Ch'en,,"Mexiko, Yucatán",MX-YUC,20.70775,-88.262739
Aktunkin,,"Mexiko, Campeche",MX-CAM,18.21732,-89.47427
Akumal,AKM,"Mexiko, Quintana Roo",MX-ROO,20.40088,-87.3198
Almuchil,AMC,"Mexiko, Campeche",MX-CAM,20.152959,-89.640334
Altamira,ALM,"Mexiko, Campeche",MX-CAM,17.98889,-89.54472
Altamira,ALT,"Mexiko, Chiapas",MX-CHP,15.35'59.9,-92.54599
Altamirano,,"Mexiko, Chiapas",MX-CHP,16.40'14.6,-92.35028
Altar de los Reyes,ALR,"Mexiko, Campeche",MX-CAM,17.99042,-89.40622
Altar de Sacrificios,ALS,"Guatemala, Petén",GT-PE,16.473785,-90.525184
Altun Ha,ALH,"Belize, Belize",BZ-BZ,17.76394,-88.34706
Alvaro Obregon,OBR,"Mexiko, Tabasco",MX-TAB,17.290197,-91.229206
Anayte',ANY,Mexiko,,na,
Anonal,ANL,"Guatemala, Petén",GT-PE,16.51845,-90.11464
Arroyo de Piedra,ARP,"Guatemala, Petén",GT-PE,16.451927,-90.269997
Bajo de la Joventud,,"Guatemala, Petén",GT-PE,17.403332,-89.625181
Baking Pot,BKP,"Belize, Cayo",BZ-CY,17.198485,-89.009253
